Field #,Field Width,Field Name,year
8,6,2010 Census Tract - Median Income,2021
9,6,Local Area Median Income,2021
10,8,Tract Income Ratio,2021
11,9,Borrower’s (or Borrowers’) Annual Income,2021
12,6,Area Median Family Income (2021),2021
13,8,Borrower Income Ratio,2021
14,9,Acquisition Unpaid Principal Balance (UPB),2021
15,1,Purpose of Loan,2021
16,1,Federal Guarantee,2021
17,2,Number of Borrowers,2021
18,1,First-Time Home Buyer,2021
19,1,Borrower Race or National Origin 1,2021
20,1,Borrower Race or National Origin 2,2021
21,1,Borrower Race or National Origin 3,2021
22,1,Borrower Race or National Origin 4,2021
23,1,Borrower Race or National Origin 5,2021
24,1,Borrower Ethnicity,2021
25,1,Co-Borrower Race or National Origin 1,2021
26,1,Co-Borrower Race or National Origin 2,2021
27,1,Co-Borrower Race or National Origin 3,2021
28,1,Co-Borrower Race or National Origin 4,2021
29,1,Co-Borrower Race or National Origin 5,2021
30,1,Co-Borrower Ethnicity,2021
31,1,Borrower Sex,2021
32,1,Co-Borrower Sex,2021
33,1,Age of Borrower,2021
34,1,Age of Co-Borrower,2021
35,1,Occupancy Code,2021
36,5,Rate Spread,2021
37,1,HOEPA Status,2021
38,1,Property Type,2021
39,1,Lien Status,2021
40,1,Borrower Age 62 or older,2021
41,1,Co-Borrower Age 62 or older,2021
42,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2021
43,1,Date of Mortgage Note,2021
44,3,Term of Mortgage at Origination,2021
45,1,Number of Units,2021
46,6,Interest Rate at Origination,2021
47,9,Note Amount,2021
48,1,Preapproval,2021
49,1,Application Channel,2021
50,1,Automated Underwriting System (AUS) Name,2021
51,2,Credit Score Model - Borrower,2021
52,2,Credit Score Model - Co-Borrower,2021
53,2,Debt-to-Income (DTI) Ratio,2021
54,6,Discount Points,2021
55,3,Introductory Rate Period,2021
56,1,Manufactured Home - Land Property Interest,2021
57,9,Property Value,2021
58,1,Rural Census Tract,2021
59,1,Lower Mississippi Delta County,2021
60,1,Middle Appalachia County,2021
61,1,Persistent Poverty County,2021
62,1,Area of Concentrated Poverty,2021
63,1,High Opportunity Area,2021
64,1,Qualified Opportunity Zone (QOZ) Census Tract,2021
1,1,Enterprise Flag,2022
2,7,Record Number,2022
3,2,US Postal State Code,2022
4,5,Metropolitan Statistical Area (MSA) Code,2022
5,3,County - 2020 Census,2022
6,6,Census Tract - 2020 Census,2022
7,6,2020 Census Tract - Percent Minority,2022
8,6,2020 Census Tract - Median Income,2022
9,6,Local Area Median Income,2022
10,8,Tract Income Ratio,2022
11,9,Borrower’s (or Borrowers’) Annual Income,2022
12,6,Area Median Family Income (2022),2022
13,8,Borrower Income Ratio,2022
14,9,Acquisition Unpaid Principal Balance (UPB),2022
15,1,Purpose of Loan,2022
16,1,Federal Guarantee,2022
17,2,Number of Borrowers,2022
18,1,First-Time Home Buyer,2022
19,1,Borrower Race or National Origin 1,2022
20,1,Borrower Race or National Origin 2,2022
21,1,Borrower Race or National Origin 3,2022
22,1,Borrower Race or National Origin 4,2022
23,1,Borrower Race or National Origin 5,2022
24,1,Borrower Ethnicity,2022
25,1,Co-Borrower Race or National Origin 1,2022
26,1,Co-Borrower Race or National Origin 2,2022
27,1,Co-Borrower Race or National Origin 3,2022
28,1,Co-Borrower Race or National Origin 4,2022
29,1,Co-Borrower Race or National Origin 5,2022
30,1,Co-Borrower Ethnicity,2022
31,1,Borrower Sex,2022
32,1,Co-Borrower Sex,2022
33,1,Age of Borrower,2022
34,1,Age of Co-Borrower,2022
35,1,Occupancy Code,2022
36,5,Rate Spread,2022
37,1,HOEPA Status,2022
38,1,Property Type,2022
39,1,Lien Status,2022
40,1,Borrower Age 62 or older,2022
41,1,Co-Borrower Age 62 or older,2022
42,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2022
43,1,Date of Mortgage Note,2022
44,3,Term of Mortgage at Origination,2022
45,1,Number of Units,2022
46,6,Interest Rate at Origination,2022
47,9,Note Amount,2022
48,1,Preapproval,2022
49,1,Application Channel,2022
50,1,Automated Underwriting System (AUS) Name,2022
51,2,Credit Score Model - Borrower,2022
52,2,Credit Score Model - Co-Borrower,2022
53,2,Debt-to-Income (DTI) Ratio,2022
54,6,Discount Points,2022
55,3,Introductory Rate Period,2022
56,1,Manufactured Home - Land Property Interest,2022
57,9,Property Value,2022
58,1,Rural Census Tract,2022
59,1,Lower Mississippi Delta County,2022
60,1,Middle Appalachia County,2022
61,1,Persistent Poverty County,2022
62,1,Area of Concentrated Poverty,2022
63,1,High Opportunity Area,2022
1,1,Enterprise Flag,2023
2,7,Record Number,2023
3,2,US Postal State Code,2023
4,5,Metropolitan Statistical Area (MSA) Code,2023
5,3,County - 2020 Census,2023
6,6,Census Tract - 2020 Census,2023
7,6,2020 Census Tract - Percent Minority,2023
8,6,2020 Census Tract - Median Income,2023
9,6,Local Area Median Income,2023
10,8,Tract Income Ratio,2023
11,9,Borrower’s (or Borrowers’) Annual Income,2023
12,6,Area Median Family Income (2023),2023
13,8,Borrower Income Ratio,2023
14,9,Acquisition Unpaid Principal Balance (UPB),2023
15,1,Purpose of Loan,2023
16,1,Federal Guarantee,2023
17,2,Number of Borrowers,2023
