Field #,Field Width,Field Name,year
21,6,Interest Rate at Origination,2024
22,9,Note Amount,2024
23,9,Property Value,2024
24,3,Prepayment Penalty Term,2024
25,1,Non-fully Amortizing Feature - Balloon,2024
26,1,Non-fully Amortizing Feature - Interest-only,2024
27,1,Non-fully Amortizing Feature - Negative Amortization,2024
28,1,Non-fully Amortizing Feature - Other,2024
29,3,Multifamily Affordable Units - Percent,2024
30,1,Construction Method,2024
31,1,Rural Census Tract,2024
32,1,Lower Mississippi Delta County,2024
33,1,Middle Appalachia County,2024
34,1,Persistent Poverty County,2024
35,1,Area of Concentrated Poverty,2024
36,1,High Opportunity Area,2024
37,1,Colonias Tract,2024
