Item,Data Item,Data Type,Format,Max Length,File,Min_Date,Max_Date,group_id,pandas_dtype,polars_dtype,Data Element,Type,Description
L37,Current Principal and Interest Amount,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L38,Prepayment Description,String,,245,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L39,Description of Non-Level Adjustment Period,String,,230,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L40,FHA Program Section Code,String,,20,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L41,Insurance Type,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L42,As of Date,Date,CCYYMM,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L43,Green Status,String,,3,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L44,Affordable Status,String,,3,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
P1,CUSIP Number,String,,9,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P2,Pool Number,String,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P3,Pool Indicator (X),String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P4,Pool Type,String,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P5,Security Interest Rate,Numeric,2.3,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P6,Pool Issue Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P7,Pool Maturity Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P8,Original Aggregate Amount,Numeric,13.2,16,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P9,Issuer Number,Numeric,,4,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P10,Issuer Name,String,,40,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P11,Issuer Address 1,String,,30,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P12,Issuer Address 2,String,,30,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P13,Issuer City,String,,30,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P14,Issuer State,String,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P15,Issuer Zip Code 1,Numeric,,5,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P16,Issuer Zip Code 2,Numeric,,4,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P17,Pool UPB,Numeric,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P18,Number of loans in pool,Numeric,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P19,Number of Loans 30 days delinquent,Numeric,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P20,UPB of Loans 30 days delinquent,Numeric,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P21,Percentage of UPB of Loans 30 days delinquent,Numeric,3.2,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P22,Number of Loans 60 days delinquent,Numeric,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
