Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
9,UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a loan that has the Payment Option value, expressed as a percentage of the Pool’s UPB. This UPB percentage is calculated by dividing the total participation UPB of the given condition (Payment Option) by the Pool’s UPB.",hnissuesS_layout.pdf,,,03,,
10,UPB of Participations as % of Principal Limit of HECM Loans,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has the Payment Option value, expressed as a
percentage of the total Principal Limit of the associated
HECM Loans. This UPB percentage is calculated by dividing
the total participation UPB of the given condition (Payment
Option) by the total of the HECM Principal Limits for all the
loans associated with those Participations.",hnissuesS_layout.pdf,,,03,,
11,UPB of Participations as % of MCA of HECM Loans,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has the Payment Option value, expressed as a
percentage of the total Maximum Claim Amount (MCA) of
the associated HECM Loans. This UPB percentage is
calculated by dividing the total participation UPB of the given
condition (Payment Option) by the total of the HECM MCAs
for all the loans associated with those Participations.",hnissuesS_layout.pdf,,,03,,
12,HECM Loans UPB as % of Principal Limit of HECM Loans,Numeric,6,3.2,,"Total UPB of all HECM Loans that have the Payment Option
value and are associated with a pool’s participations,
expressed as a percentage of the total Principal Limit of the
same HECM Loans. This UPB percentage is calculated by
dividing the total HECM Loan UPB for loans having a given
condition (Payment Option) that are associated with a pool’s
participations by the total of the HECM Loan Principal Limits
for those same HECM loans.",hnissuesS_layout.pdf,,,03,,
13,HECM Loans UPB as % of MCA of HECM Loans,Numeric,6,3.2,,"Total UPB of all HECM Loans that have the Payment Option
value and are associated with a pool’s participations,
expressed as a percentage of the total Maximum Claim
Amount (MCA) of the same HECM Loans. This UPB
percentage is calculated by dividing the total HECM Loan
UPB for loans having a given condition (Payment Option) that
are associated with a pool’s participations by the total of the
HECM MCAs for those same HECM loans.",hnissuesS_layout.pdf,,,03,,
1,Record Type = 04,Character,2,,,Property Type Stratification,hnissuesS_layout.pdf,,,04,,
2,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hnissuesS_layout.pdf,,,04,,
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned
by Ginnie Mae at pool issuance.",hnissuesS_layout.pdf,,,04,,
4,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is “H”.,hnissuesS_layout.pdf,,,04,,
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hnissuesS_layout.pdf,,,04,,
6,Property Type,Numeric,1,,,"The type of property:
1 = Single Family
2 = Condominium
3 = Manufactured Housing
4 = Planned Unit Development
9 = Not Available",hnissuesS_layout.pdf,,,04,,
7,Number of Participations,Numeric,5,,,"The number of participations in the pool associated with a
loan that has the Property Type value.",hnissuesS_layout.pdf,,,04,,
8,UPB of Participations,Numeric,14,11.2,,"The total Unpaid Principal Balance (UPB) of the
participations in the pool associated with a loan that has the
Property Type value.",hnissuesS_layout.pdf,,,04,,
9,UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has the Property Type value, expressed as a
percentage of the Pool’s UPB. This UPB percentage is
calculated by dividing the total participation UPB of the given
condition (Property Type) by the Pool’s UPB.",hnissuesS_layout.pdf,,,04,,
10,UPB of Participations as % of Principal Limit of HECM Loans,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has the Property Type value, expressed as a
percentage of the total Principal Limit of the associated
HECM Loans. This UPB percentage is calculated by dividing
the total participation UPB of the given condition (Property
Type) by the total of the HECM Principal Limits for all the
loans associated with those Participations.",hnissuesS_layout.pdf,,,04,,
11,UPB of Participations as % of MCA of HECM Loans,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a loan that has the Property Type value, expressed as a percentage of the total Maximum Claim Amount (MCA) of the associated HECM Loans. This UPB percentage is calculated by dividing the total participation UPB of the given condition (Property Type) by the total of the HECM MCAs for all the loans associated with those Participations.",hnissuesS_layout.pdf,,,04,,
12,HECM Loans UPB as % of Principal Limit of HECM Loans,Numeric,6,3.2,,"Total UPB of all HECM Loans that have the Property Type
value and are associated with a pool’s participations,
expressed as a percentage of the total Principal Limit of the
same HECM Loans. This UPB percentage is calculated by
dividing the total HECM Loan UPB for loans having a given
condition (Property Type) that are associated with a pool’s
participations by the total of the HECM Loan Principal Limits
for those same HECM loans.",hnissuesS_layout.pdf,,,04,,
13,HECM Loans UPB as % of MCA of HECM Loans,Numeric,6,3.2,,"Total UPB of all HECM Loans that have the Property Type
value and are associated with a pool’s participations,
expressed as a percentage of the total Maximum Claim
Amount (MCA) of the same HECM Loans. This UPB
percentage is calculated by dividing the total HECM Loan
UPB for loans having a given condition (Property Type) that
are associated with a pool’s participations by the total of the
HECM MCAs for those same HECM loans.",hnissuesS_layout.pdf,,,04,,
1,Record Type = 05,Character,2,,,Age of Youngest Borrower/Co-borrower Stratification,hnissuesS_layout.pdf,,,05,,
2,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hnissuesS_layout.pdf,,,05,,
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned
by Ginnie Mae at pool issuance.",hnissuesS_layout.pdf,,,05,,
4,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is “H”.,hnissuesS_layout.pdf,,,05,,
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hnissuesS_layout.pdf,,,05,,
6,Age of Youngest Borrower/Co- borrower,Numeric,2,,,"Age is computed from Birth Date, and is the age of the
youngest Borrower/Co-borrower who is at least 62 years old:
1 = Age is 62-65
2 = Age is 66-70
3 = Age is 71-75
4 = Age is 76-80
5 = Age is 81-85
6 = Age is 86-90
7 = Age is 91-95
8 = Age is 96-100
9 = Age is 100 +
10 = Not Available",hnissuesS_layout.pdf,,,05,,
7,Number of Participations,Numeric,5,,,"The number of participations in the pool associated with a
loan that has a youngest borrower/co-borrower with an age in
the borrower/co-borrower grouping.",hnissuesS_layout.pdf,,,05,,
8,UPB of Participations,Numeric,14,11.2,,"The total Unpaid Principal Balance (UPB) of the
participations in the pool associated with a loan that has a
youngest borrower/co-borrower with an age in the
borrower/co-borrower grouping.",hnissuesS_layout.pdf,,,05,,
9,UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a loan that has a youngest borrower/co-borrower with an age in the borrower/co-borrower grouping, expressed as a percentage of the Pool’s UPB. This UPB percentage is calculated by dividing the total participation UPB of the given condition (youngest borrower/co-borrower age group) by the Pool’s UPB.",hnissuesS_layout.pdf,,,05,,
