Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
80,25th Percentile CLTV (Q1),462,464,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
81,Minimum CLTV (Q0),465,467,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
82,Weighted Average Original Loan Size,468,475,Numeric,8,9(6)v(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,,
83,Reserved (Filler),476,481,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
84,Reserved (Filler),482,488,Numeric,7,9(7),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
85,Reserved (Filler),489,495,Numeric,7,9(7),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
86,Reserved (Filler),496,502,Numeric,7,9(7),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
87,Reserved (Filler),503,509,Numeric,7,9(7),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
88,Reserved (Filler),510,515,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
89,Reserved (Filler),516,528,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
90,Reserved (Filler),529,533,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
91,1 Unit Number of Loans,534,539,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
92,1 Unit UPB,540,552,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
93,1 Unit % of UPB,553,557,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
94,2 – 4 Units Number of Loans,558,563,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
95,2 – 4 Units UPB,564,576,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
96,2 – 4 Units % of UPB,577,581,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
97,Property Type Not Available Number of Loans,582,587,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
98,Property Type Not Available UPB,588,600,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
99,Property Type Not Available % of UPB,601,605,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
100,Pool UPB,606,620,Numeric,15,9(13)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
101,Filler,621,629,Character,9,X(9),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,string,String
101,As-Of Date (CCYYMM),630,635,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
1,CUSIP Number,1,9,Character,9,X(9),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,string,String
2,Pool Number,10,15,Character,6,X(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,string,String
3,Pool Indicator ( M),16,16,Character,1,X,nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,string,String
4,Pool Type,17,18,Character,2,X(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,string,String
5,Record Type (I = Issuer),19,19,Character,1,X,nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,string,String
6,Issuer Number,20,23,Character,4,X(4),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,string,String
7,Issuer Name,24,63,Character,40,X(40),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,string,String
8,Number of Loans,64,69,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,Int64,Int64
9,Issuer’s UPB in Multiple Issuer Pool,70,82,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,float64,Float64
10,Issuer’s Percentage of Multiple Issuer Pool,83,87,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,float64,Float64
11,As-Of Date (CCYYMM),88,93,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,I,Int64,Int64
1,CUSIP Number,1,9,Character,9,X(9),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,string,String
2,Pool Number,10,15,Character,6,X(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,string,String
3,"Pool Indicator (X, C or M)",16,16,Character,1,X,nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,string,String
4,Pool Type,17,18,Character,2,X(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,string,String
5,Record Type (O = Origination Year),19,19,Character,1,X,nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,string,String
6,Origination Year 1,20,23,Numeric,4,9(4),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,Int64,Int64
7,Unpaid Principal Balance for Origination Year 1,24,36,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,float64,Float64
8,Percent of UPB for Origination Year 1,37,41,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,O,float64,Float64
